"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma.ratio","alpha","beta"
"22",22,"comp",58,53,27,3.7037037037037,8,10,9,10,27,25,0,2,18,"1",4.1818298029841,0.231567108798833,0.487125175309265,0.475374956040439,5.57728360909428,-2.54117279011807
"23",23,"comp",57,59,50,6,22,19,15,18,27,24,18,16,27,"4",4.32607283474205,0.635801655108741,0.745112422926171,0.853296275227636,1.9380228578603,-6.8374986607756
"24",24,"comp",54,53,39,12.8205128205128,18,7,11,8,27,27,2,12,25,"2",4.0313940816787,0.578361186980527,0.666666661358976,0.867541787377756,0.648486943448487,-4.95853631498482
"25",25,"comp",60,60,36,0,9,10,10,8,21,21,2,3,17,"1",4.64335980013563,0.435898799862515,0.666912990665116,0.653606701269667,6.23901953359098,-7.72823940462577
"26",26,"comp",56,48,50,62,9,12,13,12,19,14,0,1,9,"1",4.49795058954712,0.329705209277075,0.573061199848535,0.575340311583159,0.130112795800664,0.968846145404327
"27",27,"comp",56,56,30,6.66666666666667,10,10,11,12,26,27,2,2,9,"1",4.38775636974938,0.531780041488017,0.60873610484786,0.873580583200209,3.00895261942143,-8.32306860375173
"28",28,"comp",59,59,57,0,16,12,24,8,30,19,30,27,20,"4",4.28299751973186,0.602802179341145,0.736758223369003,0.818181813546224,0.402911685529307,-7.30587346889841
"29",29,"comp",47,48,58,3.44827586206897,15,20,7,8,37,36,26,12,40,"4",4.34774588457434,0.500000960032481,0.611112276954933,0.818181828262229,3.0632402889279,-7.83441728620963
"30",30,"comp",55,54,23,52.1739130434783,10,12,12,8,20,20,0,0,3,"3",4.11961098683169,0.605420301259707,0.59234964289157,1.02206578247322,3.49053374848171,-4.66804484587397
"31",31,"comp",53,52,30,60,7,9,16,13,19,28,0,3,9,"1",4.07512570246607,0.550630951861085,0.49888728508439,1.10371815102071,3.77608936106141e-06,-3.11354265056003
"32",32,"comp",53,51,29,48.2758620689655,10,11,10,8,22,19,2,2,16,"1",4.29266235980248,0.654034630036773,0.678382169074807,0.964109405954405,5.7123687046679,-1.114525949163
"33",33,"comp",60,60,27,0,14,14,13,12,20,33,0,4,7,"1",4.62430630207325,0.443528994685506,0.656480590132028,0.675616311209301,6.03967462766045,-8.09661068887822
"34",34,"comp",54,53,37,5.40540540540541,12,12,18,8,34,18,4,6,19,"2",4.203027146812,0.388534000609747,0.483546161438389,0.803509636916541,1.77177072008287e-05,-5.48539990442912
"35",35,"comp",54,54,52,40.3846153846154,13,11,11,11,23,21,0,1,20,"1",4.0816018173478,0.53493347586498,0.553819910739953,0.965897876712776,2.91804826623862,-4.29649621195979
"36",36,"comp",61,61,44,11.3636363636364,7,10,9,8,19,31,10,8,6,"2",4.108375193091,0.515780513896044,0.621266349796278,0.830208354380011,3.65342405428767,-4.33301785056338
"37",37,"comp",59,56,41,63.4146341463415,14,14,14,16,20,22,0,0,1,"1",4.82314364746554,0.652525605611656,0.640856579423328,1.0182084830881,0.569190314490226,-10.8257016196818
"38",38,"comp",52,52,37,10.8108108108108,11,10,7,8,21,23,0,1,18,"3",3.98659466472285,0.452684268775579,0.668513019315914,0.677151013810933,1.92912670167201,-2.18234208969749
"39",39,"comp",49,54,33,30.3030303030303,11,9,10,9,18,20,0,4,16,"1",4.12406370870166,0.524691654780238,0.611111354942786,0.858586001612359,5.53390383074597,-1.17701920093537
"40",40,"comp",60,60,34,91.1764705882353,7,17,9,8,15,30,10,10,24,"2",4.3292151936602,0.55376210878372,0.388888885526519,1.42395972061268,6.09097394079038,-3.63902792159511
"41",41,"comp",57,55,56,75,15,8,8,7,28,30,10,12,15,"2",4.05781422663752,0.507774427829217,0.428612190532557,1.18469432051921,2.55067308256888,-4.28854786263465
"42",42,"comp",53,52,22,54.5454545454545,14,17,14,16,21,24,0,0,27,"1",4.10066728645775,0.646306533068806,0.610214477841417,1.05914650756085,1.46373707183905,-5.09350133474469
"43",43,"comp",56,58,30,23.3333333333333,15,18,16,8,23,24,2,4,20,"1",4.13544229165724,0.597214917040232,0.657575753933927,0.908207021727021,3.58587873716486,-4.89961607276298
"44",44,"comp",56,58,55,5.45454545454545,9,8,9,9,18,24,1,0,5,"3",4.26482971089645,0.545027935596355,0.649559366939851,0.83907332160268,3.07853268304775,-6.63184632455458
"45",45,"comp",50,53,39,7.69230769230769,8,13,13,8,24,24,1,2,26,"1",4.16829844558454,0.625069802184097,0.749307020400565,0.834197178414192,0.940500609726886,-5.64197443636404
"46",46,"comp",52,49,52,13.4615384615385,15,14,16,16,33,32,5,5,13,"1",4.04199255258391,0.548063785321812,0.66999499886566,0.818011755684319,0.371606881834865,-3.64741937548136
"47",47,"comp",51,53,23,21.7391304347826,7,13,8,9,30,44,3,11,1,"2",4.1960843858349,0.621901836005271,0.659999999852519,0.942275509309453,1.91710551903197,-6.69096904950588
"48",48,"comp",52,52,47,14.8936170212766,18,22,22,25,29,20,24,18,25,"4",4.35035656867991,0.545940100424752,0.590909090806805,0.923898631647968,1.29978441005211,-8.28763749506911
"49",49,"comp",59,58,41,12.1951219512195,7,13,7,8,17,21,0,0,11,"3",4.43960891256022,0.658281069634527,0.749169899832064,0.878680616749404,7.22256416886229,-4.28267366689344
"50",50,"comp",56,56,20,10,14,24,19,16,24,25,19,22,45,"4",4.37792621374411,0.527134045564269,0.590909090868722,0.892073000246629,2.09518489873751,-8.40063326510669
"51",51,"comp",58,58,59,3.38983050847458,14,14,17,16,27,32,0,0,26,"1",4.34496795568876,0.33091234181682,0.437104839876698,0.757054856473716,0.166409393472209,-7.90172969876783
"52",52,"comp",60,59,43,88.3720930232558,22,16,18,19,34,21,3,6,32,"4",4.52160003539805,0.645612424010586,0.590909082245655,1.09257488742099,4.44850725241331,-8.60716380801629
"53",53,"comp",58,58,41,56.0975609756098,20,15,18,16,35,27,3,4,21,"1",4.12835257394901,0.468298349830164,0.451508055386696,1.0371871426061,1.10511160238894,-5.02841673024383
"54",54,"comp",59,59,20,65,15,15,13,9,31,20,0,0,10,"1",4.67618471232851,0.562187541282793,0.541431139592683,1.0383361801202,7.23889296821895,-6.53457317985086
"55",55,"comp",54,51,39,33.3333333333333,10,11,13,8,31,26,0,0,22,"3",4.0905051972825,0.624704380592818,0.663807548575369,0.941092613263479,1.60983789421217,-4.72637025174686
"56",56,"comp",57,59,41,56.0975609756098,13,12,10,12,42,33,0,3,23,"1",4.094738372807,0.509901549882519,0.473595226929088,1.07666108290164,1.77581777152449,-5.03964282967723
"57",57,"comp",58,56,57,38.5964912280702,14,21,19,8,31,25,8,6,31,"4",4.24517561193782,0.563502680807627,0.590909082522326,0.953619934901469,5.48751420360534,-2.70703609416585
"58",58,"comp",57,57,29,48.2758620689655,14,13,14,14,25,22,0,2,8,"1",4.65208581833303,0.533271580859595,0.535356874367181,0.9961048534026,6.35965050085971,-7.61702700954341
"59",59,"comp",57,55,27,25.9259259259259,20,14,11,10,21,27,1,5,12,"1",4.09553786215518,0.465641112837677,0.545546201861922,0.853531948803726,4.06676784418936e-07,-3.65953138950164
"60",60,"comp",60,61,46,80.4347826086957,16,12,18,11,31,25,0,1,42,"1",4.0817223424063,0.538134018473512,0.439177764024456,1.22532164092794,4.6565343912805e-07,-5.3201944843894
